neighborhood,enrolled_students
Carrick,5.708661417322835
Brookline,5.2299570508231925
Beechview,3.5522548317823905
Sheraden,3.1048675733715103
Squirrel Hill South,3.0377594846098783
Knoxville,2.7559055118110236
Brighton Heights,2.6753758052970653
Homewood North,2.635110952040086
Hazelwood,2.5724767358625624
East Hills,2.54563350035791
Crafton Heights,2.4114173228346454
Northview Heights,2.35773085182534
Garfield,2.326413743736578
Lincoln-Lemington-Belmar,2.272727272727273
East Liberty,2.219040801717967
Greenfield,2.178775948460988
Homewood South,2.1340372226198996
Mount Oliver Borough,2.129563350035791
Marshall-Shadeland,2.0892984967788117
Perry South,1.9819255547602004
Mount Washington,1.8656048675733714
Highland Park,1.8432355046528275
Terrace Village,1.7940229062276307
Perry North,1.7761274158911953
Squirrel Hill North,1.4897995705082319
Stanton Heights,1.4853256979241232
Point Breeze,1.418217609162491
Wilkinsburg Borough,1.3645311381531853
Allentown,1.2929491768074446
Overbrook,1.2168933428775948
Westwood,1.2034717251252685
Bloomfield,1.167680744452398
Larimer,1.1453113815318539
Beltzhoover,1.1318897637795275
Lincoln Place,1.0871510379384395
Spring Hill-City View,1.0692555476020043
Elliott,1.0245168217609162
Crawford-Roberts,1.0200429491768075
Middle Hill,1.0200429491768075
Bedford Dwellings,0.984251968503937
Shadyside,0.9708303507516105
Arlington,0.8321403006442376
South Side Slopes,0.8142448103078024
Banksville,0.8052970651395849
Morningside,0.8008231925554761
Central Northside,0.6710808876163207
Troy Hill,0.6621331424481031
Central Lawrenceville,0.6263421617752327
Upper Hill,0.6039727988546886
Point Breeze North,0.5950250536864711
California-Kirkbride,0.5592340730136006
Homewood West,0.527916964924839
Upper Lawrenceville,0.5010737294201861
South Side Flats,0.5010737294201861
Windgap,0.4921259842519685
Manchester,0.4921259842519685
Fairywood,0.4250178954903364
Fineview,0.39370078740157477
Allegheny Center,0.37580529706513954
Lower Lawrenceville,0.37580529706513954
Duquesne Heights,0.34896206156048676
South Oakland,0.34448818897637795
Mount Oliver,0.34001431639226914
Oakwood,0.33554044380816034
East Allegheny,0.322118826055834
Glen Hazel,0.31317108088761636
New Homestead,0.3086972083035075
Spring Garden,0.2997494631352899
Swisshelm Park,0.25053686471009307
Bon Air,0.24606299212598426
West Oakland,0.24158911954187545
Friendship,0.2326413743736578
Bluff,0.21921975662133145
Regent Square,0.21474588403722264
Polish Hill,0.21474588403722264
Summer Hill,0.20132426628489622
Hays,0.17895490336435219
Chartiers City,0.15658554044380818
West End,0.12526843235504653
East Carnegie,0.12079455977093773
Arlington Heights,0.12079455977093773
Esplen,0.1163206871868289
Saint Clair,0.11184681460272013
Ridgemont,0.08947745168217609
Golden Triangle,0.0805297065139585
Central Oakland,0.07158196134574087
North Oakland,0.049212598425196846
