,Ratio
Terrace Village,2.782722116
North Shore,2.2556189425
Allegheny Center,2.060087678
 North Oakland,2.050171272
Larimer,1.9263445085000002
Garfield,1.92625726
Lawrenceville,1.863824216
South Side Flats,1.7745316469999999
Bloomfield,1.7705876377999998
Shadyside,1.7490301393999999
Crawford-Roberts,1.742758881
Squirrel Hill North,1.70374582
East Liberty,1.7022218279999999
Lincoln,1.70025087875
Friendship,1.697480456
Point Breeze,1.6836440209999999
Golden Triangle,1.642998262
Homewood North,1.630587363
Arlington,1.578789891
South Oakland,1.5658689185
Knoxville,1.509692223
Highland Park,1.484062199
Central Oakland,1.482208379
West Oakland,1.480501081
Lawrencecville,1.469347246
South Shore,1.418866183
Stanton Heights,1.3907317479999999
Greenfield,1.3877408595
Upper Hill,1.365103408
Squirrel Hill South,1.3551649771999998
Morningside,1.351974663
Mount Washington,1.2571466515
Allentown,1.254392007
Brighton Heights,1.252001766
Beltzhoover,1.228572407
Mount Oliver,1.209033285
Perry South,1.1907449115
North Oakland,1.173041367
Bedford Dwellings,1.167234168
Brookline,1.16632404475
Swisshelm Park,1.14752855
Marshall-Shadeland,1.1090653846666665
Carrick,1.0808354393333335
South Side Slopes,1.0736580185
Manchester,1.070954209
Beechview,1.0671650019999999
Regent Square,1.064719615
Upper Lawrenceville,1.058934048
Fineview,0.997488828
East Hills,0.99622858
Sheraden,0.994843201
Spring Garden,0.985227115
East Carnegie,0.985189973
Crafton Heights,0.9669209355
Hazelwood,0.9579262290000001
Troy Hill,0.908231807
Esplen,0.89680423
Elliott,0.877001134
Chateau,0.874690576
Chartiers City,0.862771374
Duquesne Heights,0.860372774
Strip District,0.858928986
Spring Hill,0.819535415
Overbrook,0.7313869104999999
Ridgemont,0.628763481
Banksville,0.375034352
Perry North,0.177125439
New Homestead,0.047461558
